26268:2025-10-23 17:04:41,409 - core.position_manager - INFO - Trailing stop activated for MLNUSDT
227818:2025-10-23 18:15:51,112 - protection.trailing_stop - INFO - ✅ BABYUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.03102000, current_stop=0.03150780, update_count=0
227820:2025-10-23 18:15:51,112 - protection.trailing_stop - INFO - ✅ CARVUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.14840000, current_stop=0.15096000, update_count=0
227822:2025-10-23 18:15:51,113 - protection.trailing_stop - INFO - ✅ KASUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.05107000, current_stop=0.05194860, update_count=0
227824:2025-10-23 18:15:51,113 - protection.trailing_stop - INFO - ✅ OGUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=17.90700000, current_stop=18.14988000, update_count=0
227826:2025-10-23 18:15:51,113 - protection.trailing_stop - INFO - ✅ TWTUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=1.22380000, current_stop=1.24817400, update_count=0
227828:2025-10-23 18:15:51,114 - protection.trailing_stop - INFO - ✅ ZKJUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.07220000, current_stop=0.07354200, update_count=0
227830:2025-10-23 18:15:51,114 - protection.trailing_stop - INFO - ✅ VELODROMEUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=999999.00000000, lowest_price=N/A, current_stop=0.03247680, update_count=0
227832:2025-10-23 18:15:51,114 - protection.trailing_stop - INFO - ✅ VIRTUALUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.75950000, current_stop=0.77163000, update_count=0
227834:2025-10-23 18:15:51,115 - protection.trailing_stop - INFO - ✅ HEMIUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.05620000, current_stop=0.05710572, update_count=0
227836:2025-10-23 18:15:51,115 - protection.trailing_stop - INFO - ✅ IOTXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.01161000, current_stop=0.01184220, update_count=0
227838:2025-10-23 18:15:51,115 - protection.trailing_stop - INFO - ✅ RSRUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.00547300, current_stop=0.00558042, update_count=0
227840:2025-10-23 18:15:51,116 - protection.trailing_stop - INFO - ✅ LINKUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=17.25700000, current_stop=17.53482000, update_count=0
227842:2025-10-23 18:15:51,116 - protection.trailing_stop - INFO - ✅ TRXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.32168000, current_stop=0.32765460, update_count=0
227844:2025-10-23 18:15:51,116 - protection.trailing_stop - INFO - ✅ TONUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=2.10960000, current_stop=2.15179200, update_count=0
227846:2025-10-23 18:15:51,117 - protection.trailing_stop - INFO - ✅ BBUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.11865000, current_stop=0.12102300, update_count=0
227848:2025-10-23 18:15:51,117 - protection.trailing_stop - INFO - ✅ SUNUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.02316700, current_stop=0.02357526, update_count=0
227850:2025-10-23 18:15:51,117 - protection.trailing_stop - INFO - ✅ SFPUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.37220000, current_stop=0.37954200, update_count=0
227852:2025-10-23 18:15:51,118 - protection.trailing_stop - INFO - ✅ AVAXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=19.41100000, current_stop=19.79616000, update_count=0
227854:2025-10-23 18:15:51,118 - protection.trailing_stop - INFO - ✅ ASRUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=1.47800000, current_stop=1.50756000, update_count=0
227856:2025-10-23 18:15:51,118 - protection.trailing_stop - INFO - ✅ SHELLUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.08750000, current_stop=0.08925000, update_count=0
