"id","pair_symbol","recommended_action","score_week","score_month","timestamp","created_at","trading_pair_id","exchange_id","score_week_filter","score_month_filter","max_trades_filter","stop_loss_filter","trailing_activation_filter","trailing_distance_filter"
6171362,"PTBUSDT","SELL","92.90","69.70","2025-10-26 17:45:00+00","2025-10-26 18:04:01.647166+00",1013223,1,72,64,3,"5","2","0.5"
6169297,"RAYDIUMUSDT","BUY","100.00","79.30","2025-10-26 17:30:00+00","2025-10-26 17:48:02.080235+00",2980,2,71,61,2,"6","2","0.5"
6165334,"RAYDIUMUSDT","BUY","100.00","79.30","2025-10-26 17:00:00+00","2025-10-26 17:18:01.54863+00",2980,2,71,61,2,"6","2","0.5"
6161420,"AIXBTUSDT","SELL","75.00","78.60","2025-10-26 16:30:00+00","2025-10-26 16:48:01.796983+00",2456,1,72,64,3,"5","2","0.5"
6159643,"AIXBTUSDT","SELL","75.00","78.60","2025-10-26 16:15:00+00","2025-10-26 16:34:01.990336+00",2456,1,72,64,3,"5","2","0.5"
6155561,"AIXBTUSDT","SELL","75.00","78.60","2025-10-26 15:45:00+00","2025-10-26 16:04:02.208604+00",2456,1,72,64,3,"5","2","0.5"
6155642,"YALAUSDT","SELL","84.40","85.70","2025-10-26 15:45:00+00","2025-10-26 16:04:02.208604+00",1013204,1,72,64,3,"5","2","0.5"
6154084,"MAVIAUSDT","BUY","72.60","64.80","2025-10-26 15:30:00+00","2025-10-26 15:49:01.456572+00",2517,1,72,64,3,"5","2","0.5"
6147207,"VVVUSDT","BUY","80.00","80.00","2025-10-26 14:30:00+00","2025-10-26 14:49:01.952381+00",2484,1,72,64,3,"5","2","0.5"
6140130,"XNOUSDT","BUY","80.00","70.60","2025-10-26 13:30:00+00","2025-10-26 13:49:01.874775+00",3121,2,71,61,2,"6","2","0.5"
6138574,"XNOUSDT","BUY","80.00","70.60","2025-10-26 13:15:00+00","2025-10-26 13:34:01.393672+00",3121,2,71,61,2,"6","2","0.5"
6135461,"STGUSDT","BUY","80.00","70.60","2025-10-26 12:45:00+00","2025-10-26 13:04:02.078272+00",2225,1,72,64,3,"5","2","0.5"
6133787,"MAVIAUSDT","BUY","72.60","64.80","2025-10-26 12:30:00+00","2025-10-26 12:48:01.461364+00",2517,1,72,64,3,"5","2","0.5"
6133812,"IDEXUSDT","BUY","80.00","80.00","2025-10-26 12:30:00+00","2025-10-26 12:48:01.461364+00",2829,2,71,61,2,"6","2","0.5"
6130527,"MAVIAUSDT","BUY","72.60","64.80","2025-10-26 12:00:00+00","2025-10-26 12:19:01.921566+00",2517,1,72,64,3,"5","2","0.5"
6128843,"DEEPUSDT","BUY","80.00","70.60","2025-10-26 11:45:00+00","2025-10-26 12:04:02.340243+00",2536,1,72,64,3,"5","2","0.5"
6124956,"BSVUSDT","BUY","80.00","80.00","2025-10-26 11:15:00+00","2025-10-26 11:34:01.449+00",2284,1,72,64,3,"5","2","0.5"
6119931,"BSVUSDT","BUY","80.00","80.00","2025-10-26 10:30:00+00","2025-10-26 10:48:01.46025+00",2284,1,72,64,3,"5","2","0.5"
6118130,"BSVUSDT","BUY","80.00","80.00","2025-10-26 10:15:00+00","2025-10-26 10:33:01.970921+00",2284,1,72,64,3,"5","2","0.5"
6116380,"DEEPUSDT","BUY","80.00","70.60","2025-10-26 10:00:00+00","2025-10-26 10:18:01.536199+00",2536,1,72,64,3,"5","2","0.5"
6116438,"COAIUSDT","BUY","72.60","64.80","2025-10-26 10:00:00+00","2025-10-26 10:18:01.536199+00",1013340,1,72,64,3,"5","2","0.5"
6116322,"BSVUSDT","BUY","80.00","80.00","2025-10-26 10:00:00+00","2025-10-26 10:18:01.536199+00",2284,1,72,64,3,"5","2","0.5"
6112444,"JUPUSDT","BUY","80.00","70.60","2025-10-26 09:30:00+00","2025-10-26 09:49:02.320472+00",2326,1,72,64,3,"5","2","0.5"
